上传低光照图片,增强结果,flag,username,timestamp
"{""path"":""flagged\\上传低光照图片\\66e557641351acba91b1\\1.png"",""url"":""http://127.0.0.1:7860/file=C:\\Users\\79913\\AppData\\Local\\Temp\\gradio\\a83521fceca79d42bb19f9211d0fc4c5c30d0b45\\1.png"",""size"":null,""orig_name"":""1.png"",""mime_type"":null,""is_stream"":false}",,,,2026-03-15 21:13:24.084618
"{""path"":""flagged\\上传低光照图片\\d84638437342dbfdc6cf\\1.png"",""url"":""http://127.0.0.1:7860/file=C:\\Users\\79913\\AppData\\Local\\Temp\\gradio\\a83521fceca79d42bb19f9211d0fc4c5c30d0b45\\1.png"",""size"":null,""orig_name"":""1.png"",""mime_type"":null,""is_stream"":false}","{""path"":""flagged\\增强结果\\40f2846838ca1ad9161c\\image.png"",""url"":""http://127.0.0.1:7860/file=C:\\Users\\79913\\AppData\\Local\\Temp\\gradio\\1cb6263d52a4540f80c3962c395b815385492134\\image.png"",""size"":null,""orig_name"":""image.png"",""mime_type"":null,""is_stream"":false}",,,2026-03-15 21:14:12.356670
